Ticker,Strategy,Risk_Config,Params,Beats_BH,OOS_BH_pct,Score,OOS_total_return_pct,OOS_annual_return_pct,OOS_sharpe_ratio,OOS_max_drawdown_pct,OOS_total_trades,OOS_win_rate_pct,OOS_avg_win_pct,OOS_avg_loss_pct,OOS_profit_factor,OOS_final_equity,OOS_buy_hold_return_pct
V,Trend Rider,No stops,"ema_period=20, atr_period=10, atr_mult=3.0, reentry_mult=1.0",False,5.705145491038488,0.308,4.94,3.24,0.256,-20.16,0,0.0,0.0,0.0,0,10494.13,5.71
V,Trend Rider,Trail 10%,"ema_period=20, atr_period=14, atr_mult=3.0, reentry_mult=1.0",False,5.705145491038488,-0.423,-13.09,-8.87,-0.344,-30.98,6,33.3,3.81,-6.02,0.32,8690.9,5.71
V,Trend Rider,Trail 15%,"ema_period=20, atr_period=14, atr_mult=3.0, reentry_mult=1.0",False,5.705145491038488,-0.108,-2.36,-1.57,0.033,-22.66,2,0.0,0.0,-1.96,0.0,9763.6,5.71
V,Trend Rider,Trail 20%,"ema_period=20, atr_period=14, atr_mult=3.0, reentry_mult=1.0",False,5.705145491038488,0.086,1.62,1.07,0.16,-21.86,1,0.0,0.0,-4.66,0.0,10162.33,5.71
V,Dual Regime,No stops,"fast_sma=40, slow_sma=150, reentry_buffer=1.0",False,5.705145491038488,-0.478,-3.51,-2.34,-0.418,-7.35,1,0.0,0.0,-3.56,0.0,9648.65,5.71
V,Dual Regime,Trail 10%,"fast_sma=50, slow_sma=200, reentry_buffer=1.0",False,5.705145491038488,-0.179,-0.86,-0.57,-0.085,-4.8,1,0.0,0.0,-0.87,0.0,9913.72,5.71
V,Dual Regime,Trail 15%,"fast_sma=40, slow_sma=150, reentry_buffer=1.0",False,5.705145491038488,-0.478,-3.51,-2.34,-0.418,-7.35,1,0.0,0.0,-3.56,0.0,9648.65,5.71
V,Dual Regime,Trail 20%,"fast_sma=40, slow_sma=150, reentry_buffer=1.0",False,5.705145491038488,-0.478,-3.51,-2.34,-0.418,-7.35,1,0.0,0.0,-3.56,0.0,9648.65,5.71
V,SMA Crossover,No stops,"fast_period=20, slow_period=200",False,5.705145491038488,-0.843,-8.19,-5.5,-0.771,-9.72,3,33.3,1.55,-4.93,0.16,9180.71,5.71
V,SMA Crossover,Trail 10%,"fast_period=30, slow_period=150",False,5.705145491038488,-0.331,-2.43,-1.62,-0.301,-7.35,2,50.0,0.1,-2.57,0.04,9756.67,5.71
V,SMA Crossover,Trail 15%,"fast_period=20, slow_period=200",False,5.705145491038488,-0.843,-8.19,-5.5,-0.771,-9.72,3,33.3,1.55,-4.93,0.16,9180.71,5.71
V,SMA Crossover,Trail 20%,"fast_period=20, slow_period=200",False,5.705145491038488,-0.843,-8.19,-5.5,-0.771,-9.72,3,33.3,1.55,-4.93,0.16,9180.71,5.71
MA,Crash Avoider,No stops,"trend_sma=75, confirm_days=7, rsi_exit=30, rsi_reentry=45",False,-4.646396285351706,-0.56,-13.75,-9.32,-0.401,-24.54,1,0.0,0.0,-0.32,0.0,8625.13,-4.65
MA,Crash Avoider,Trail 10%,"trend_sma=60, confirm_days=3, rsi_exit=45, rsi_reentry=60",False,-4.646396285351706,-0.798,-10.18,-6.86,-0.664,-12.75,3,0.0,0.0,-3.63,0.0,8981.52,-4.65
MA,Crash Avoider,Trail 15%,"trend_sma=60, confirm_days=3, rsi_exit=45, rsi_reentry=60",False,-4.646396285351706,-0.563,-6.45,-4.32,-0.373,-11.45,3,33.3,1.2,-4.01,0.15,9354.59,-4.65
MA,Crash Avoider,Trail 20%,"trend_sma=60, confirm_days=3, rsi_exit=45, rsi_reentry=60",False,-4.646396285351706,-0.563,-6.45,-4.32,-0.373,-11.45,3,33.3,1.2,-4.01,0.15,9354.59,-4.65
MA,Dip Buyer,No stops,"fast_ema=5, slow_ema=30, dip_pct=7, trend_lookback=5",False,-4.646396285351706,-0.969,-28.49,-19.9,-1.648,-29.4,7,14.3,0.28,-5.56,0.01,7150.8,-4.65
MA,Dip Buyer,Trail 10%,"fast_ema=15, slow_ema=40, dip_pct=5, trend_lookback=15",False,-4.646396285351706,-0.855,-16.6,-11.32,-0.852,-19.41,8,37.5,1.89,-4.72,0.23,8339.93,-4.65
MA,Dip Buyer,Trail 15%,"fast_ema=15, slow_ema=40, dip_pct=5, trend_lookback=15",False,-4.646396285351706,-0.862,-17.43,-11.9,-0.913,-20.22,6,16.7,0.45,-3.94,0.02,8256.98,-4.65
MA,Dip Buyer,Trail 20%,"fast_ema=5, slow_ema=30, dip_pct=7, trend_lookback=5",False,-4.646396285351706,-0.969,-28.49,-19.9,-1.648,-29.4,7,14.3,0.28,-5.56,0.01,7150.8,-4.65
MA,Trend Rider,No stops,"ema_period=20, atr_period=10, atr_mult=3.0, reentry_mult=1.0",False,-4.646396285351706,-0.569,-11.49,-7.76,-0.268,-20.19,1,0.0,0.0,-9.51,0.0,8850.65,-4.65
MA,Trend Rider,Trail 10%,"ema_period=20, atr_period=14, atr_mult=3.0, reentry_mult=1.0",False,-4.646396285351706,-0.683,-16.65,-11.35,-0.52,-24.37,6,16.7,5.5,-4.05,0.26,8335.02,-4.65
MA,Trend Rider,Trail 15%,"ema_period=20, atr_period=14, atr_mult=2.0, reentry_mult=1.0",False,-4.646396285351706,-0.751,-20.85,-14.34,-0.64,-27.77,7,28.6,3.04,-5.67,0.2,7914.61,-4.65
MA,Trend Rider,Trail 20%,"ema_period=20, atr_period=14, atr_mult=2.0, reentry_mult=1.0",False,-4.646396285351706,-0.751,-20.85,-14.34,-0.64,-27.77,7,28.6,3.04,-5.67,0.2,7914.61,-4.65
MA,Dual Regime,No stops,"fast_sma=40, slow_sma=120, reentry_buffer=1.0",True,-4.646396285351706,-0.481,-4.62,-3.08,-0.239,-9.61,1,0.0,0.0,-4.7,0.0,9538.14,-4.65
MA,Dual Regime,Trail 10%,"fast_sma=40, slow_sma=200, reentry_buffer=1.0",False,-4.646396285351706,-0.695,-10.1,-6.8,-1.08,-14.53,2,0.0,0.0,-5.28,0.0,8990.12,-4.65
MA,Dual Regime,Trail 15%,"fast_sma=40, slow_sma=200, reentry_buffer=1.0",False,-4.646396285351706,-0.599,-6.95,-4.66,-0.705,-11.6,1,0.0,0.0,-7.05,0.0,9304.84,-4.65
MA,Dual Regime,Trail 20%,"fast_sma=40, slow_sma=200, reentry_buffer=1.0",False,-4.646396285351706,-0.599,-6.95,-4.66,-0.705,-11.6,1,0.0,0.0,-7.05,0.0,9304.84,-4.65
MA,SMA Crossover,No stops,"fast_period=30, slow_period=200",False,-4.646396285351706,-0.863,-15.94,-10.85,-1.566,-18.48,2,0.0,0.0,-8.61,0.0,8406.48,-4.65
MA,SMA Crossover,Trail 10%,"fast_period=20, slow_period=50",False,-4.646396285351706,-0.95,-23.17,-16.0,-1.399,-24.38,5,20.0,0.2,-6.62,0.01,7683.18,-4.65
MA,SMA Crossover,Trail 15%,"fast_period=30, slow_period=200",False,-4.646396285351706,-0.863,-15.94,-10.85,-1.566,-18.48,2,0.0,0.0,-8.61,0.0,8406.48,-4.65
MA,SMA Crossover,Trail 20%,"fast_period=30, slow_period=200",False,-4.646396285351706,-0.863,-15.94,-10.85,-1.566,-18.48,2,0.0,0.0,-8.61,0.0,8406.48,-4.65
UNH,Crash Avoider,No stops,"trend_sma=50, confirm_days=2, rsi_exit=30, rsi_reentry=50",True,-32.32591282337359,-0.611,-25.93,-18.01,-0.469,-42.45,4,25.0,2.61,-16.53,0.04,7406.87,-32.33
UNH,Crash Avoider,Trail 10%,"trend_sma=40, confirm_days=2, rsi_exit=45, rsi_reentry=60",True,-32.32591282337359,0.058,0.68,0.45,0.097,-12.9,2,50.0,10.07,-8.29,1.08,10068.06,-32.33
UNH,Crash Avoider,Trail 15%,"trend_sma=100, confirm_days=3, rsi_exit=45, rsi_reentry=55",True,-32.32591282337359,2.832,20.78,13.31,0.965,-14.42,1,0.0,0.0,-2.08,0.0,12078.07,-32.33
UNH,Crash Avoider,Trail 20%,"trend_sma=50, confirm_days=2, rsi_exit=30, rsi_reentry=50",True,-32.32591282337359,-0.395,-12.51,-8.46,-0.173,-31.66,4,25.0,2.61,-11.42,0.07,8748.88,-32.33
UNH,Dip Buyer,No stops,"fast_ema=21, slow_ema=30, dip_pct=7, trend_lookback=10",True,-32.32591282337359,-0.973,-28.89,-20.2,-1.107,-29.68,4,0.0,0.0,-8.17,0.0,7111.13,-32.33
UNH,Dip Buyer,Trail 10%,"fast_ema=21, slow_ema=30, dip_pct=7, trend_lookback=10",True,-32.32591282337359,-1.0,-19.95,-13.69,-1.236,-19.95,4,0.0,0.0,-5.44,0.0,8005.3,-32.33
UNH,Dip Buyer,Trail 15%,"fast_ema=21, slow_ema=30, dip_pct=7, trend_lookback=10",True,-32.32591282337359,-1.0,-24.38,-16.88,-1.225,-24.38,4,0.0,0.0,-6.79,0.0,7561.64,-32.33
UNH,Dip Buyer,Trail 20%,"fast_ema=21, slow_ema=30, dip_pct=7, trend_lookback=10",True,-32.32591282337359,-1.0,-28.82,-20.14,-1.183,-28.82,4,0.0,0.0,-8.15,0.0,7117.97,-32.33
UNH,Trend Rider,No stops,"ema_period=30, atr_period=20, atr_mult=3.0, reentry_mult=0",True,-32.32591282337359,-0.47,-20.25,-13.9,-0.258,-43.04,4,0.0,0.0,-10.77,0.0,7975.5,-32.33
UNH,Trend Rider,Trail 10%,"ema_period=50, atr_period=10, atr_mult=2.5, reentry_mult=1.0",True,-32.32591282337359,1.541,22.17,14.17,0.675,-24.1,5,40.0,9.31,-6.15,0.91,12217.39,-32.33
UNH,Trend Rider,Trail 15%,"ema_period=30, atr_period=20, atr_mult=3.0, reentry_mult=0",True,-32.32591282337359,-0.175,-6.02,-4.02,-0.006,-34.4,5,40.0,3.24,-11.1,0.18,9398.05,-32.33
UNH,Trend Rider,Trail 20%,"ema_period=30, atr_period=20, atr_mult=3.0, reentry_mult=0",True,-32.32591282337359,-0.55,-25.75,-17.88,-0.444,-46.85,5,0.0,0.0,-9.89,0.0,7424.73,-32.33
UNH,Dual Regime,No stops,"fast_sma=60, slow_sma=100, reentry_buffer=1.0",True,-32.32591282337359,-0.821,-18.88,-12.93,-0.569,-22.99,1,0.0,0.0,-18.01,0.0,8111.7,-32.33
UNH,Dual Regime,Trail 10%,"fast_sma=60, slow_sma=100, reentry_buffer=1.0",True,-32.32591282337359,-0.507,-6.34,-4.24,-0.279,-12.51,2,0.0,0.0,-2.65,0.0,9366.29,-32.33
UNH,Dual Regime,Trail 15%,"fast_sma=60, slow_sma=100, reentry_buffer=1.0",True,-32.32591282337359,-0.812,-16.42,-11.19,-0.681,-20.21,2,0.0,0.0,-8.06,0.0,8357.78,-32.33
